,hs,wind_speed,wind_dir,picks_period,avg_period
49585,2.1,1.4,7,5.33,4.84
49586,2.6,2.2,8,5.92,5.41
49587,3.0,2.7,8,6.5,5.9
49588,3.4,3.2,8,7.09,6.32
49589,3.7,2.9,8,7.58,6.65
49590,3.8,2.5,8,7.78,6.86
49591,3.8,2.2,8,7.88,6.95
49592,3.6,1.4,8,7.97,6.94
49593,3.5,1.0,5,7.99,6.89
49594,3.3,0.7,5,8.06,6.86
49595,3.3,1.1,5,8.16,6.84
49596,3.3,0.8,5,8.23,6.85
49597,3.3,0.9,5,8.32,6.93
49598,3.4,0.8,5,8.46,7.09
49599,3.5,0.3,5,8.64,7.27
49600,3.4,9.1,5,8.99,7.44
49601,3.3,8.7,5,9.19,7.53
49602,3.2,8.1,5,9.25,7.57
49603,3.0,7.3,5,9.23,7.55
49604,2.8,6.9,8,9.17,7.47
49605,2.6,6.9,8,9.03,7.34
49606,2.4,7.0,8,8.71,7.17
49607,2.3,7.2,8,8.52,6.98
49608,2.2,7.7,8,8.4,6.74
49609,2.1,8.1,8,8.25,6.48
49610,2.1,9.2,8,7.96,6.14
49611,2.2,0.3,8,7.65,5.87
49612,2.7,2.3,8,6.81,5.81
49613,3.5,3.3,8,7.16,6.36
49614,4.3,4.4,8,7.82,6.99
49615,5.0,5.1,5,8.55,7.59
49616,5.6,5.5,5,9.28,8.1
49617,6.0,5.8,5,9.57,8.5
49618,6.3,6.1,5,0.29,8.87
49619,6.7,6.7,5,0.61,9.16
49620,6.9,6.9,5,1.12,9.31
49621,7.0,6.6,5,1.16,9.36
49622,7.0,6.0,5,1.12,9.34
49623,6.7,5.0,5,1.06,9.26
49624,6.4,4.0,5,0.96,9.16
49625,6.0,2.8,5,0.72,9.02
49626,5.5,1.6,5,0.35,8.85
49627,5.1,0.3,5,0.14,8.65
49628,4.6,9.5,5,9.92,8.42
49629,4.2,8.8,5,9.46,8.17
49630,3.8,8.6,5,9.21,7.91
49631,3.5,8.7,8,8.95,7.62
49632,3.2,9.1,8,8.54,7.3
49633,2.9,9.6,8,8.33,6.95
49634,2.8,9.6,8,8.0,6.62
49635,2.7,0.5,8,7.67,6.29
49636,2.7,1.2,8,7.43,6.06
49637,2.8,1.1,8,7.05,5.97
49638,2.8,1.4,8,6.95,5.97
49639,2.8,0.9,8,6.98,6.05
49640,2.8,0.3,8,7.05,6.11
49641,2.7,9.4,8,7.16,6.23
49642,2.6,9.3,8,7.34,6.31
49643,2.5,8.9,8,7.61,6.36
49644,2.4,8.4,8,7.72,6.4
49645,2.3,7.7,8,7.73,6.4
49646,2.1,7.3,8,7.7,6.36
49647,2.0,7.0,8,7.63,6.3
49648,1.8,6.4,8,7.5,6.22
49649,1.7,6.2,8,7.28,6.14
49650,1.6,5.7,8,7.1,6.04
49651,1.5,4.9,5,6.96,5.95
49652,1.4,4.0,5,6.82,5.85
49653,1.3,3.1,5,6.58,5.74
49654,1.2,2.4,5,6.43,5.62
49655,1.1,1.6,6,6.33,5.5
49656,1.0,1.1,6,6.2,5.38
49657,0.9,1.4,2,6.0,5.27
49658,0.8,2.1,1,5.86,5.16
49659,0.8,2.7,1,5.78,5.06
49660,0.7,3.2,1,5.7,4.97
49661,0.6,3.9,1,5.56,4.89
49662,0.6,4.6,1,5.43,4.81
49663,0.5,5.3,1,5.37,4.73
49664,0.5,6.1,1,5.33,4.63
49665,0.5,6.7,1,5.29,4.5
49666,0.4,7.1,1,5.23,4.3
49667,0.5,7.9,2,5.15,3.66
49668,1.0,8.5,2,3.48,3.15
49669,1.0,8.5,2,3.65,3.69
49670,1.0,8.2,2,4.01,3.9
49671,1.0,7.7,2,4.08,3.94
49672,1.0,7.6,2,4.32,3.94
49673,0.9,7.7,2,4.35,3.92
49674,0.9,7.9,2,4.35,3.9
49675,1.0,7.7,2,4.35,3.93
49676,1.0,7.4,2,4.35,4.0
49677,0.9,7.2,2,4.35,4.03
49678,0.9,6.9,2,4.35,4.02
49679,0.8,6.7,2,4.36,4.01
49680,0.8,6.5,2,4.36,4.02
49681,0.8,6.4,2,4.35,4.01
49682,0.7,6.0,2,4.34,4.0
49683,0.7,5.5,2,4.34,3.99
49684,0.7,5.0,6,4.34,4.0
49685,0.7,4.6,6,4.34,4.03
49686,0.6,4.4,6,4.35,4.05
49687,0.6,4.4,6,4.39,4.07
49688,0.6,4.8,6,4.52,4.08
49689,0.6,5.0,6,4.63,4.09
49690,0.6,5.1,6,4.67,4.11
49691,0.6,5.2,6,4.71,4.13
49692,0.6,5.3,6,4.78,4.16
49693,0.6,5.4,6,4.88,4.2
49694,0.6,5.3,6,5.0,4.26
49695,0.7,5.2,6,5.11,4.36
49696,0.7,5.1,6,5.19,4.48
49697,0.8,5.1,6,5.25,4.62
49698,0.8,5.1,6,5.32,4.72
49699,0.8,5.1,6,5.37,4.78
49700,0.8,5.2,6,5.41,4.8
49701,0.8,5.4,6,5.42,4.79
49702,0.9,5.7,6,5.43,4.77
49703,0.9,5.9,6,5.46,4.76
49704,0.9,6.1,6,5.51,4.76
49705,0.9,6.4,6,5.56,4.74
49706,1.0,6.8,5,5.58,4.7
49707,1.0,7.2,5,5.58,4.64
49708,1.1,7.7,5,5.52,4.59
49709,1.2,7.7,5,5.43,4.59
49710,1.3,8.2,5,5.38,4.6
49711,1.4,8.7,5,5.34,4.63
49712,1.6,9.1,5,5.38,4.73
49713,1.8,9.5,5,5.67,4.94
49714,2.1,9.9,5,5.97,5.21
49715,2.3,0.2,5,6.34,5.5
49716,2.5,0.3,5,6.59,5.76
49717,2.6,0.1,5,6.91,5.98
49718,2.7,9.8,5,7.08,6.14
49719,2.7,9.5,5,7.16,6.23
49720,2.7,9.0,5,7.21,6.28
49721,2.6,8.5,5,7.23,6.29
49722,2.4,8.2,5,7.2,6.26
49723,2.3,7.8,5,7.15,6.19
49724,2.2,7.5,5,7.1,6.12
49725,2.0,7.3,5,7.05,6.04
49726,2.0,7.6,5,7.0,5.95
49727,1.9,7.1,5,6.95,5.87
49728,1.9,7.6,5,6.89,5.79
49729,1.9,7.4,5,6.84,5.75
49730,1.9,7.5,6,6.85,5.78
49731,2.0,7.4,6,6.95,5.9
49732,2.1,7.3,6,7.11,6.09
49733,2.2,6.6,6,7.3,6.31
49734,2.2,6.5,6,7.57,6.49
49735,2.2,6.5,6,7.72,6.61
49736,2.2,6.4,6,7.81,6.72
49737,2.2,6.3,6,7.86,6.8
49738,2.2,6.2,6,7.87,6.82
49739,2.1,6.1,6,7.85,6.81
49740,2.0,6.0,6,7.82,6.77
49741,2.0,5.9,2,7.78,6.72
49742,1.8,5.6,2,7.71,6.64
49743,1.7,5.4,2,7.62,6.52
49744,1.6,5.2,2,7.47,6.41
49745,1.5,5.1,2,7.22,6.29
49746,1.4,5.3,1,7.08,6.18
49747,1.3,5.4,1,6.98,6.08
49748,1.2,5.7,1,6.89,5.98
49749,1.1,6.6,1,6.76,5.82
49750,1.1,7.1,1,6.58,5.4
49751,1.1,6.6,1,6.46,5.13
49752,1.1,6.8,1,6.37,5.03
49753,1.1,7.0,1,6.23,4.89
49754,1.1,6.9,1,5.68,4.8
49755,1.2,6.9,1,5.57,4.77
49756,1.2,6.9,1,5.49,4.78
49757,1.2,6.7,1,5.48,4.8
49758,1.1,6.7,1,5.53,4.8
49759,1.1,6.4,1,5.56,4.8
49760,1.0,6.0,1,5.56,4.8
49761,1.0,5.7,1,5.54,4.8
49762,0.9,5.2,1,5.52,4.8
49763,0.8,4.9,1,5.48,4.79
49764,0.8,4.3,1,5.45,4.78
49765,0.7,3.9,1,5.42,4.77
49766,0.7,3.4,2,5.39,4.75
49767,0.6,3.1,2,5.36,4.72
49768,0.6,2.9,2,5.33,4.7
49769,0.6,2.8,2,5.3,4.67
49770,0.5,2.8,6,5.28,4.64
49771,0.5,2.7,6,5.26,4.61
49772,0.5,2.5,6,5.24,4.58
49773,0.4,2.4,6,5.23,4.56
49774,0.4,2.1,6,5.22,4.53
49775,0.4,1.8,6,5.21,4.5
49776,0.4,1.6,6,5.19,4.47
49777,0.4,1.4,5,5.17,4.45
49778,0.3,1.4,5,5.14,4.42
49779,0.3,1.4,8,5.11,4.4
49780,0.3,1.5,8,5.07,4.39
49781,0.3,1.7,8,5.02,4.37
49782,0.3,1.8,8,4.97,4.35
49783,0.3,1.6,7,4.93,4.33
49784,0.3,1.4,7,4.9,4.31
49785,0.2,1.3,4,4.88,4.28
49786,0.2,1.9,4,4.85,4.26
49787,0.2,3.2,3,4.83,4.23
49788,0.2,4.3,3,4.81,4.21
49789,0.2,4.8,3,4.78,4.17
49790,0.2,5.4,3,4.73,4.13
49791,0.2,5.7,3,4.68,4.07
